Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
WFC,Wells Fargo & Company,54.59,2.81263E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wfc
BAC,Bank of America Corporation,16.22,1.70627E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bac
C,Citigroup Inc.,53.06,1.60976E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c
AXP,American Express Company,80.31,81849968664,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp
GS,"Goldman Sachs Group, Inc. (The)",186.91,81421950455,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gs
USB,U.S. Bancorp,44.67,79565729649,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/usb
AIG,"American International Group, Inc.",56,76856410008,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig
MS,Morgan Stanley,35.53,70229056586,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ms
BLK,"BlackRock, Inc.",365.47,60450586913,n/a,1999,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/blk
MET,"MetLife, Inc.",52.64,58822094082,n/a,2000,Finance,Life Insurance,http://www.nasdaq.com/symbol/met
PNC,"PNC Financial Services Group, Inc. (The)",93.73,48804246893,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pnc
BX,The Blackstone Group L.P.,38.75,44901218943,n/a,2007,Finance,Investment Managers,http://www.nasdaq.com/symbol/bx
BK,Bank Of New York Mellon Corporation (The),39.28,43753692372,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bk
COF,Capital One Financial Corporation,78.98,43564648571,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/cof
SCHW,The Charles Schwab Corporation,31.04,40695120009,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/schw
PRU,"Prudential Financial, Inc.",82.6,37500400000,n/a,2001,Finance,Life Insurance,http://www.nasdaq.com/symbol/pru
TRV,"The Travelers Companies, Inc.",105.8,34000795764,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/trv
BEN,"Franklin Resources, Inc.",53.05,32987911316,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ben
CME,CME Group Inc.,95.42,32189343488,n/a,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
MMC,"Marsh & McLennan Companies, Inc.",56.35,30360225614,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/mmc
STT,State Street Corporation,72.81,30018152088,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stt
ALL,Allstate Corporation (The),69.14,28791734087,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
KKR,KKR & Co. L.P.,23.71,28165489498,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/kkr
MHFI,"McGraw Hill Financial, Inc.",101.43,27741105000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/mhfi
BBT,BB&T Corporation,38.46,27722014883,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbt
AON,Aon plc,98.79,27685949068,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
AFL,Aflac Incorporated,62.16,27282220239,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
DFS,Discover Financial Services,58.9,26342432348,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dfs
ICE,Intercontinental Exchange Inc.,230.42,25809062396,n/a,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ice
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",132.98,24270372887,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp
CB,Chubb Corporation (The),99.88,23057984375,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cb
STI,"SunTrust Banks, Inc.",41.92,21921582926,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sti
TROW,"T. Rowe Price Group, Inc.",82.13,21413496437,n/a,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow
AMTD,TD Ameritrade Holding Corporation,37.69,20485765290,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd
MCO,Moody&#39;s Corporation,94.56,19167312000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/mco
HIG,"Hartford Financial Services Group, Inc. (The)",41.01,17263206579,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hig
IVZ,Invesco Plc,40.14,17229089292,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ivz
MTB,M&T Bank Corporation,124.43,16538306730,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mtb
NTRS,Northern Trust Corporation,70.36,16428124493,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrs
FITB,Fifth Third Bancorp,19.45,15847182965,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
PGR,Progressive Corporation (The),26.26,15465366899,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pgr
LNC,Lincoln National Corporation,58.92,15106560430,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/lnc
L,Loews Corporation,40.48,15106179093,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/l
PFG,Principal Financial Group Inc,50.5,14852567524,n/a,2001,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/pfg
RF,Regions Financial Corporation,9.76,13106647665,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/rf
KEY,KeyCorp,14.31,12239696300,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/key
AMG,"Affiliated Managers Group, Inc.",214.39,11768970780,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
CBG,"CBRE Group, Inc.",34.66,11542623659,n/a,2004,Finance,Real Estate,http://www.nasdaq.com/symbol/cbg
